name,rank,totalEvents,townHall,ticketedEvent,teleTownHall,officeHour,emptyChair,other
Ron Wyden,1,25,25,0,0,0,0,0
Claire McCaskill,2,20,19,0,1,0,0,0
Will Hurd,3,19,19,0,0,0,0,0
Roger Marshall,4,16,15,0,0,0,0,2
Buddy Carter,5,15,14,0,0,0,0,1
Ron Kind,6,13,13,0,0,0,0,0
Mike Thompson,7,17,12,0,0,0,0,5
Jared Polis,8,13,12,0,0,0,0,1
Peter DeFazio,9,12,12,0,0,0,0,0
Mark DeSaulnier,10,11,11,0,0,0,0,0
Chuck Grassley,11,18,11,0,0,7,0,0
James Comer Jr.,12,10,10,0,0,0,0,0
Tom McClintock,13,9,9,0,0,0,0,0
Jeff Merkley,14,9,9,0,0,0,0,0
Robert Pittenger,15,9,9,0,0,0,0,0
Deb Fischer,16,20,9,0,0,10,0,1
Frank D. Lucas,17,8,8,0,0,0,0,0
Chris Murphy,18,9,8,0,0,0,0,1
Danny K. Davis,19,9,8,0,0,0,0,1
Derek Kilmer,20,8,8,0,0,0,0,0
Kurt Schrader,21,7,7,0,0,0,0,0
Mike Johnson,22,7,7,0,0,0,0,0
Jerry Moran,23,8,7,0,0,0,1,0
Michael Bennet,24,7,7,0,0,0,0,0
Scott Taylor,25,6,6,0,0,0,0,0
John Garamendi,26,6,6,0,0,0,0,0
Leonard Lance,27,6,6,0,0,0,0,0
Jeb Hensarling,28,6,6,0,0,0,0,0
Mike Conaway,29,6,6,0,0,0,0,0
Gene Green,30,8,6,0,1,0,0,1
Bradley Byrne,31,8,6,0,0,0,0,2
Tim Walberg,32,6,6,0,0,0,0,0
Glenn Grothman,33,8,6,0,0,2,0,0
Adriano Espaillat,34,7,6,1,0,0,0,0
Patrick T. McHenry,35,6,6,0,0,0,0,0
Debbie Dingell,36,6,6,0,0,0,0,0
Jeff Fortenberry,37,5,5,0,0,0,0,0
Ro Khanna,38,5,5,0,0,0,0,0
Jim Himes,39,5,5,0,0,0,0,0
Gary Palmer,40,5,5,0,0,0,0,0
Tom Rice,41,16,5,0,0,11,0,0
Elizabeth Warren,42,5,5,0,0,0,0,0
Betty McCollum,43,7,5,0,0,1,0,1
Bill Cassidy,44,5,5,0,0,0,0,0
Daniel Webster,45,7,5,0,0,0,0,2
Frank Lucas,46,4,4,0,0,0,0,0
Tom Cole,47,4,4,0,0,0,0,0
Brian Mast,48,4,4,0,0,0,0,0
Rod Blum,49,9,4,0,0,4,0,1
Dave Loebsack,50,12,4,0,0,2,0,6
Joe Barton,51,4,4,0,0,0,0,0
Mark Walker,52,4,4,0,0,0,0,0
Jared Huffman,53,6,4,0,0,0,0,2
Ryan Costello,54,12,4,0,2,3,0,3
Adrian Smith,55,10,4,0,0,6,0,0
Ron Estes,56,4,4,0,0,0,0,0
Donald Norcross,57,5,4,0,0,0,0,1
Rick Nolan,58,12,4,0,0,7,0,1
Rick Larsen,59,7,4,0,0,3,0,0
Barbara Lee,60,6,4,0,0,1,0,1
Kevin Cramer,61,7,4,0,0,3,0,0
Carol Shea-Porter,62,9,4,0,0,5,0,0
Donald Beyer,63,6,4,0,0,2,0,0
Adam Schiff,64,4,4,0,0,0,0,0
Ken Buck,65,6,4,0,0,0,0,2
Nanette Barragán,66,6,4,0,0,0,0,2
Yvette D. Clarke,67,5,4,0,0,0,0,1
Terri Sewell,68,4,4,0,0,0,0,0
Don Bacon,69,6,4,0,0,0,0,2
Matt Cartwright,70,4,4,0,0,0,0,0
Jim Langevin,71,4,3,0,0,0,0,1
Brad Schneider,72,27,3,0,0,18,0,6
Karen Bass,73,5,3,0,0,0,0,2
Tom Reed,74,4,3,0,0,0,0,1
Greg Walden,75,3,3,0,0,0,0,0
Colleen Hanabusa,76,3,3,0,0,0,0,0
Tom Cotton,77,4,3,0,0,0,1,0
Salud Carbajal,78,7,3,0,0,2,0,2
Mark Pocan,79,5,3,0,0,1,0,1
Joni Ernst,80,4,3,1,0,0,0,0
Theodore E. Deutch,81,3,3,0,0,0,0,0
Tony Cárdenas,82,3,3,0,0,0,0,0
Michael Capuano,83,3,3,0,0,0,0,0
Bill Huizenga,84,3,3,0,0,0,0,0
Richard Blumenthal,85,3,3,0,0,0,0,0
Nydia Velázquez,86,3,3,0,0,0,0,0
Jackie Speier,87,3,3,0,0,0,0,0
Steve Womack,88,9,3,0,0,4,0,2
Brenda Lawrence,89,3,3,0,0,0,0,0
Justin Amash,90,3,3,0,0,0,0,0
Beto O'Rourke,91,3,3,0,0,0,0,0
Mike Rounds,92,3,3,0,0,0,0,0
Cory Gardner,93,7,3,0,1,0,2,1
Joyce Beatty,94,5,3,0,1,0,0,1
Kirsten Gillibrand,95,3,3,0,0,0,0,0
Paul Tonko,96,9,3,0,0,0,0,6
Ed Markey,97,3,3,0,0,0,0,0
Mark Takano,98,3,3,0,0,0,0,0
Seth Moulton,99,5,3,0,0,2,0,0
Jody Hice,100,7,3,1,0,2,0,1
Sean Maloney,101,3,2,0,0,1,0,0
Earl Blumenauer,102,2,2,0,0,0,0,0
Gus Bilirakis,103,2,2,0,0,0,0,0
Matt Gaetz,104,7,2,0,0,0,0,5
Raul Labrador,105,2,2,0,0,0,0,0
Bobby Scott,106,2,2,0,0,0,0,0
Anthony Brown,107,2,2,0,0,0,0,0
Mazie K. Hirono,108,2,2,0,0,0,0,0
Tom Emmer,109,3,2,0,0,1,0,0
Ben Ray Lujan,110,2,2,0,0,0,0,0
David N. Cicilline,111,3,2,0,1,0,0,0
Ruben Gallego,112,2,2,0,0,0,0,0
Elzabeth Esty,113,2,2,0,0,0,0,0
Raja Krishnamoorthi,114,13,2,0,0,11,0,0
A. Donald McEachin,115,4,2,0,0,0,0,2
Hakeem Jeffries,116,2,2,0,0,0,0,0
Mark Veasey,117,4,2,0,0,2,0,0
Michael Burgess,118,2,2,0,0,0,0,0
Joaquin Castro,119,2,2,0,0,0,0,0
Clay Higgins,120,2,2,0,0,0,0,0
Alcee L. Hastings,121,2,2,0,0,0,0,0
Joe Courtney,122,2,2,0,0,0,0,0
Tim Walz,123,2,2,0,0,0,0,0
Suzanne Bonamici,124,2,2,0,0,0,0,0
Jimmy Panetta,125,2,2,0,0,0,0,0
Bobby Rush,126,3,2,0,0,0,0,1
Maria Cantwell,127,2,2,0,0,0,0,0
Jan Schakowsky,128,2,2,0,0,0,0,0
Jerry McNerney,129,2,2,0,0,0,0,0
Brian E. Schatz,130,2,2,0,0,0,0,0
Judy Chu,131,2,2,0,0,0,0,0
David Price,132,2,2,0,0,0,0,0
Eric Swalwell,133,4,2,0,0,0,0,2
Lou Correa,134,2,2,0,0,0,0,0
Larry Bucshon,135,2,2,0,0,0,0,0
Martha Roby,136,2,2,0,0,0,0,0
Rob Bishop,137,2,2,0,0,0,0,0
G.K. Butterfield,138,3,2,0,0,0,0,1
Thomas Suozzi,139,1,1,0,0,0,0,0
David Brat,140,2,1,0,0,0,1,0
Ben Cardin & Chris Van Hollen,141,1,1,0,0,0,0,0
Claudia Tenney,142,6,1,0,0,3,2,0
Edward Markey,143,1,1,0,0,0,0,0
Ami Bera,144,10,1,0,0,9,0,0
David Cicillne,145,1,1,0,0,0,0,0
Yvette Clarke,146,1,1,0,0,0,0,0
Ruben Kihuen,147,4,1,1,0,1,0,1
Bruce Westerman,148,2,1,0,1,0,0,0
Sean Patrick Maloney,149,1,1,0,0,0,0,0
Dave Brat,150,1,1,0,0,0,0,0
Tim Scott,151,1,1,0,0,0,0,0
John Faso,152,6,1,0,0,0,0,5
Alma Adams,153,5,1,0,0,2,0,2
Lucille Roybal-Allard,154,1,1,0,0,0,0,0
Jeff Denham,155,16,1,0,0,14,0,1
Rep John Sarbanes,156,1,1,0,0,0,0,0
John Katko,157,6,1,0,1,0,2,2
Brad Sherman,158,4,1,0,1,0,0,2
Debbie Wasserman Schultz,159,1,1,0,0,0,0,0
Doug Collins,160,2,1,0,0,1,0,0
Steve Pearce,161,3,1,0,1,1,0,0
Nanette Barragan,162,1,1,0,0,0,0,0
David Ciciline,163,1,1,0,0,0,0,0
Steve Stivers,164,1,1,0,0,0,0,0
Dan Sullivan,165,1,1,0,0,0,0,0
Francis Rooney,166,1,1,0,0,0,0,0
Ro khanna,167,1,1,0,0,0,0,0
Nancy Lusk, Valdenia Winn, Brett Parker, Jarrod Ousley,168,1,1,0,0,0,0,0
Donald Payne,169,1,1,0,0,0,0,0
Emanuel Cleaver,170,1,1,0,0,0,0,0
Glenn Thompson,171,5,1,0,1,3,0,0
Collin Peterson,172,1,1,0,0,0,0,0
Doug LaMalfa,173,2,1,1,0,0,0,0
Adam Smith,174,1,1,0,0,0,0,0
Chris Stewart,175,2,1,0,0,0,1,0
Jason Lewis,176,2,1,0,0,0,1,0
Katherine Clark,177,1,1,0,0,0,0,0
Donald McEachin,178,1,1,0,0,0,0,0
Keith Ellison,179,7,1,0,0,0,0,6
John Delaney,180,3,1,0,0,0,0,2
Rosa DeLauro,181,1,1,0,0,0,0,0
Lamar Smith,182,1,1,0,0,0,0,0
William Keating,183,1,1,0,0,0,0,0
Mike Coffman,184,2,1,0,0,0,1,0
Garret Graves,185,2,1,0,0,0,0,1
Cory Booker,186,1,1,0,0,0,0,0
Marcia Fudge,187,1,1,0,0,0,0,0
Dean Heller,188,3,1,0,0,0,1,1
Doris Matsui,189,1,1,0,0,0,0,0
Jim Sensenbrenner,190,1,1,0,0,0,0,0
Martha McSally,191,6,1,2,0,0,2,1
Dan Kildee,192,1,1,0,0,0,0,0
Thomas Garrett,193,2,1,0,1,0,0,0
Sanford Bishop,194,1,1,0,0,0,0,0
Lloyd Doggett,195,1,1,0,0,0,0,0
James Comer,196,1,1,0,0,0,0,0
Mike Rogers,197,6,1,0,0,5,0,0
David Young,198,13,1,0,0,3,0,9
Cathy McMorris Rodgers,199,1,1,0,0,0,0,0
John Thune,200,1,1,0,0,0,0,0
Johnny Isakson,201,1,1,0,0,0,0,0
Tom MacArthur,202,4,1,0,1,0,1,1
John Conyers, Jr.,203,1,1,0,0,0,0,0
Robin Kelly,204,1,1,0,0,0,0,0
Dennis Ross,205,1,1,0,0,0,0,0
Sean Duffy,206,2,1,0,0,0,0,1
Rep Donald Norcross,207,1,1,0,0,0,0,0
Ben Luján,208,1,1,0,0,0,0,0
Ben Ray Luján,209,1,1,0,0,0,0,0
Tom Suozzi,210,1,1,0,0,0,0,0
Bennie Thompson,211,1,1,0,0,0,0,0
Joseph Crowley,212,1,1,0,0,0,0,0
Marsha Blackburn,213,3,1,0,0,0,0,2
Darren Soto,214,1,1,0,0,0,0,0
Gus M. Bilirakis,215,1,1,0,0,0,0,0
Charlie Crist,216,1,1,0,0,0,0,0
Danny Davis,217,1,1,0,0,0,0,0
Steve Cohen,218,3,1,0,0,1,0,1
Ben Cardin,219,1,1,0,0,0,0,0
Joe Manchin,220,2,1,0,0,1,0,0
Mark Meadows,221,5,1,0,0,0,1,3
Annie Kuster,222,1,1,0,0,0,0,0
Elijah Cummings,223,1,1,0,0,0,0,0
Daniel Lipinski,224,1,1,0,0,0,0,0
Dick Durbin,225,1,1,0,0,0,0,0
Senator Shaheen, Senator Hassan,226,1,1,0,0,0,0,0
Kamala Harris,227,1,1,0,0,0,0,0
James Lankford,228,1,1,0,0,0,0,0
Mark Amodei,229,1,1,0,0,0,0,0
Kathy Castor,230,2,1,0,0,0,0,1
Raul M. Grijalva,231,2,1,0,0,0,0,1
Elise Stefanik,232,2,0,0,0,0,0,2
Senator Jon Tester,233,1,0,0,0,0,0,1
Richard Burr, Thom Tillis,234,2,0,0,0,0,2,0
Susan Davis,235,2,0,0,0,0,0,2
Lee Zeldin,236,2,0,0,0,0,0,2
Jim Jordan,237,3,0,0,0,0,0,3
Pete Aguilar,238,1,0,0,0,1,0,0
Devin Nunes,239,2,0,0,0,0,1,1
Mike Quigley,240,1,0,0,0,0,0,1
Jose Serrano,241,1,0,1,0,0,0,0
Rodney Frelinghuysen,242,1,0,0,1,0,0,0
Rodney Davis (Illinois),243,1,0,0,0,1,0,0
Daniel Donovan,244,3,0,0,2,0,0,1
Rob Portman,245,3,0,1,0,0,2,0
David Reichert,246,1,0,0,0,0,0,1
Pramila Jayapal,247,4,0,0,0,4,0,0
Pat Tiberi,248,1,0,0,0,0,1,0
Josh Gottheimer,249,2,0,0,0,1,0,1
Jaime Herrera Beutler,250,1,0,0,1,0,0,0
Steve Chabot,251,1,0,1,0,0,0,0
Paul Gosar,252,1,0,0,0,0,0,1
Marco Rubio,253,1,0,0,0,0,1,0
Kevin McCarthy,254,2,0,0,0,0,0,2
Tammy Baldwin,255,1,0,0,0,1,0,0
Mark Sanford,256,4,0,0,0,4,0,0
Tom Rice ,257,2,0,0,0,2,0,0
Tammy Duckworth,258,1,0,0,0,1,0,0
Stephanie Murphy,259,2,0,0,0,1,0,1
Jim McGovern,260,2,0,1,0,0,0,1
John Moolenaar,261,1,0,0,0,1,0,0
Lou Barletta,262,7,0,0,0,5,0,2
Barbara Comstock,263,2,0,0,0,0,0,2
Pete Sessions,264,1,0,0,0,1,0,0
Mike Kelly,265,3,0,0,1,0,0,2
David Perdue,266,2,0,0,0,2,0,0
Mike Gallagher,267,1,0,0,0,0,1,0
Jeff Flake,268,3,0,3,0,0,0,0
John Boozman,269,1,0,0,0,0,0,1
Tom Price,270,1,0,0,0,0,0,1
Sheila Jackson Lee,271,4,0,0,0,1,0,3
Tulsi Gabbard,272,6,0,0,0,5,0,1
Bruce Poliquin,273,1,0,0,0,0,1,0
Jim Renacci,274,1,0,0,0,0,1,0
Trent Franks,275,1,0,1,0,0,0,0
David Scott (Georgia),276,1,0,0,0,0,0,1
Dana Rohrabacher,277,1,0,0,0,0,0,1
Rodney Davis,278,10,0,0,0,7,1,2
Andy Harris,279,2,0,0,0,0,0,2
Marc Veasey,280,1,0,0,0,1,0,0
Mike Bost,281,4,0,0,0,0,1,3
Linda Sánchez,282,3,0,0,0,3,0,0
Carolyn B. Maloney,283,1,0,1,0,0,0,0
David Schweikert,284,1,0,1,0,0,0,0
Edward Royce,285,1,0,0,0,0,0,1
Bill Foster,286,5,0,0,0,0,0,5
John Lewis,287,1,0,0,0,1,0,0
Rob Woodall,288,1,0,0,0,1,0,0
Austin Scott,289,2,0,0,0,2,0,0
Ruben J. Kihuen,290,1,0,0,0,0,0,1
Ted Cruz, John Cornyn,291,1,0,0,0,0,1,0
Rep Ruben J. Kihuen,292,1,0,0,0,0,0,1
George E.B. Holding,293,1,0,0,0,0,1,0
Bill Flores,294,2,0,0,0,0,2,0
Jim Banks,295,1,0,0,0,0,0,1
Mike Lee,296,3,0,0,1,0,1,1
Bernie Sanders,297,1,0,0,0,0,0,1
Rep Carol Shea-Porter,298,1,0,0,0,0,0,1
Bob Goodlatte,299,4,0,0,0,4,0,0
Joe Manchin III,300,6,0,0,0,6,0,0
Jacky Rosen,301,1,0,0,0,0,0,1
Michelle Lujan Grisham,302,2,0,0,0,2,0,0
Rep Ann McLane Kuster,303,1,0,0,0,0,0,1
Morgan Griffith,304,52,0,0,0,52,0,0
Brett Guthrie,305,7,0,0,0,7,0,0
Schweikert,306,1,0,0,0,0,0,1
Ed Perlmutter,307,4,0,0,0,0,0,4
Dave Reichert,308,3,0,0,0,0,0,3
Shelley Moore Capito,309,14,0,0,0,0,0,14
Niki Tsongas,310,1,0,0,0,0,1,0
shelley moore capito,311,2,0,0,0,0,0,2
Burr, Tillis,312,1,0,0,0,0,1,0
Shelley Moore Captio,313,1,0,0,0,0,0,1
Erik Paulsen,314,1,0,0,0,0,1,0
Ron Johnson,315,2,0,0,0,0,0,2
Patty Murray,316,4,0,0,0,0,0,4
Jackie Walorski,317,5,0,0,0,5,0,0
Dianne Feinstein,318,1,0,0,0,0,0,1
Nydia Velazquez,319,1,0,0,0,0,0,1
Peter J. Visclosky,320,1,0,0,0,0,0,1
Roger Williams,321,1,0,0,0,0,1,0
Scott Perry,322,5,0,0,1,4,0,0
Bradley Schneider,323,1,0,0,0,1,0,0
Tom Graves,324,14,0,0,0,14,0,0
Andre Carson,325,4,0,0,0,3,0,1
Chris Smith,326,1,0,0,0,0,1,0
Jeff Duncan,327,9,0,0,0,9,0,0
Duncan Hunter,328,1,0,0,0,0,1,0
Patrick Meehan,329,7,0,0,0,6,1,0
Paul Ryan,330,1,0,0,0,0,0,1
Rick Crawford,331,1,0,0,0,0,1,0
Brian Fitzpatrick,332,5,0,0,0,3,0,2
Gregory Meeks,333,1,0,0,1,0,0,0
Brian Shuster,334,3,0,0,0,3,0,0
Kevin Brady,335,1,0,0,0,0,0,1
Bill Shuster,336,1,0,0,0,1,0,0
Tom Marino,337,4,0,0,0,4,0,0
Rep Ruben Kihuen,338,1,0,1,0,0,0,0
Kevin Yoder,339,1,0,0,0,0,0,1
Darrell Issa,340,2,0,0,0,0,0,2
Juan Vargas,341,1,0,0,0,1,0,0
Bob Casey,342,1,0,0,0,0,0,1
Jon Tester,343,1,0,0,0,0,0,1
Blake Farenthold,344,1,0,0,0,1,0,0
Lisa Blunt Rochester,345,1,0,0,0,0,0,1
Charles W. Dent,346,1,0,0,0,0,0,1
Pat Toomey,347,1,0,0,0,0,0,1
Steve Daines,348,1,0,0,0,0,1,0
John Yarmuth,349,2,0,0,1,0,0,1
Mimi Walters,350,3,0,0,1,0,2,0
John M. Shimkus,351,2,0,0,0,0,1,1
Todd Young,352,2,0,0,0,1,1,0
Luke Messer,353,1,0,0,0,0,1,0
Pat Roberts,354,2,0,1,0,0,0,1
Brian Higgins,355,6,0,0,0,4,0,2
Keith Rothfus,356,8,0,0,0,8,0,0
Mitch McConnell,357,5,0,1,0,0,0,4
Joe Donnelly,358,1,0,0,0,0,0,1
Rand Paul,359,1,0,0,0,1,0,0
David Rouzer,360,2,0,0,0,2,0,0
Catherine Cortez Masto,361,1,0,0,0,1,0,0
Adam Kinzinger,362,1,0,0,0,0,0,1
Andy Barr,363,3,0,0,0,2,0,1
Peter T. King,364,1,0,0,0,0,1,0
Dina Titus,365,1,0,0,0,0,0,1
Cedric Richmond,366,1,0,0,0,0,0,1
Val Demings,367,2,0,0,0,0,0,2
Roy Blunt,368,1,0,0,0,0,1,0
